owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4537,"Supply Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,572546196.25,78702313.78,0,0,0,2228120732.96,2228120732.96,2879369242.99,2172318790.04,78702313.78,707050452.95,1802488682.8,2879369242.99,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4539,"Franchise Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,926180579,96382075.9,0,0,0,1429635239.42,1429635239.42,2452197894.32,1808471024.22,96382075.9,643726870.1,1681332710.09,2452197894.32,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-5287,"Medical Care Collections Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,16860734.78,0,0,0,0,0,0,16860734.78,0,0,16860734.78,0,16860734.78,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-5392,"National Cemetery Administration Facilities Operation Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,777872.49,30805.4,265141.33,0,0,0,0,1073819.22,0,30805.4,1073819.22,0,1073819.22,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8129,"Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,1548560.78,6800.25,408899.81,0,0,0,0,1964260.84,212466.38,6800.25,1751794.46,230605.29,1964260.84,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8132,"National Service Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,0,274437.81,280346594.17,0,0,3509675,3509675,284130706.98,284130706.98,274437.81,0,308576651.8,284130706.98,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8133,"Post-Vietnam Era, Veterans Education Account, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",52287678.56,0,0,0,0,0,0,52287678.56,2155963.75,0,50131714.81,2219790.31,52287678.56,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8150,"United States Government Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,0,0,103793.03,0,0,0,0,103793.03,103793.03,0,0,75102.41,103793.03,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8180,"General Post Fund, National Homes, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,133105036.14,746476.29,21371755.59,0,0,0,0,155223268.02,20110478.62,746476.29,135112789.4,18291826.34,155223268.02,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-8455,"Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,648204875.07,181902.74,0,0,0,42459731.67,42459731.67,690846509.48,153288305.54,181902.74,537558203.94,150972986.83,690846509.48,2023-11-15
Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,FY2023P12,045-0100,"Salaries and Expenses, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,Administration of Justice,Federal law enforcement activities,12235346.47,-20222.14,455000000,0,0,100967,100967,467316091.33,454048373.2,4166563.43,13267718.13,446925818.17,467316091.33,2023-11-14
Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,FY2023P12,045-4019,"EEOC Education, Technical Assistance and Training Revolving Fund, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,Administration of Justice,Federal law enforcement activities,1269698.86,35015.37,0,0,0,4621269.32,4621269.32,5925983.55,5065291.54,35015.37,860692.01,3862717.61,5925983.55,2023-11-14
General Services Administration,General Services Administration,FY2023P12,047-0105,"Allowances and Office Staff for Former Presidents, General Services Administration",General Services Administration,General Government,Executive direction and management,2144193.28,-316297.88,5200000,0,0,0,0,7027895.4,4609515.48,69454.8,2418379.92,4659380.83,7027895.4,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0107,"Expenses, Presidential Transition, General Services Administration",General Services Administration,General Government,Executive direction and management,371069.19,281.63,0,0,0,0,0,371350.82,0,281.63,371350.82,125191.95,371350.82,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0108,"Office of Inspector General, General Services Administration",General Services Administration,General Government,General property and records management,7950936.02,-1405895.51,74583000,0,0,349681.29,349681.29,81477721.8,74133386.95,94682.3,7344334.85,66810198.48,81477721.8,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0110,"Operating Expenses, General Services Administration",General Services Administration,General Government,General property and records management,13888334.61,-742325.11,54478000,0,0,1800541.34,1800541.34,69424550.84,55574275.56,514332.74,13850275.28,55144330.38,69424550.84,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0401,"Expenses, Government-Wide Policy, General Services Administration",General Services Administration,General Government,General property and records management,31261377.81,1425435.24,71186000,0,0,33709396.84,33709396.84,137582209.89,100166156.33,2113019.29,37416053.56,94907037.01,137582209.89,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0535,"Real Property Relocation, General Services Administration",General Services Administration,General Government,General property and records management,11380887.14,0,0,0,0,0,0,11380887.14,0,0,11380887.14,0,11380887.14,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0603,"Pre-Election Presidential Transition, General Services Administration",General Services Administration,General Government,Executive direction and management,3109833.38,20766.73,0,0,0,0,0,3130600.11,0,20766.73,3130600.11,0,3130600.11,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0610,"Civilian Board of Contract Appeals, General Services Administration",General Services Administration,General Government,General property and records management,2690625.45,-267710,10352000,0,0,-26263.31,-26263.31,12748652.14,9034659.1,3470.41,3713993.04,9031891.86,12748652.14,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-0616,"Technology Modernization Fund, General Services Administration",General Services Administration,General Government,Other general government,880191832.58,-147196915.15,50000000,0,0,35405304.87,35405304.87,818400222.3,26870550.53,28812.85,791529671.77,26051385.38,818400222.3,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-4534,"Acquisition Services Fund, General Services Administration",General Services Administration,General Government,General property and records management,3253675286.02,1256122869.56,0,0,0,26403122715.49,26403122715.49,30912920871.07,27319697346.85,1269245609.56,3593223524.22,23919683121.78,30912920871.07,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-4540,"Working Capital Fund, General Services Administration",General Services Administration,General Government,General property and records management,186189715.33,32785007.9,5900000,0,0,764081388.29,764081388.29,988956111.52,798102964.8,22449975.9,190853146.72,768980963.76,988956111.52,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-4542,"Federal Buildings Fund, General Services Administration",General Services Administration,General Government,General property and records management,13119883193.73,133558321.78,36788390,0,0,12191994635.01,12191994635.01,25482224540.52,11880440320.42,140279604.22,13601784220.1,11139553204.19,25482224540.52,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-4549,"Federal Citizen Services Fund, General Services Administration",General Services Administration,Commerce and Housing Credit,Other advancement of commerce,125438637.83,2647776.21,89826460.41,0,0,58239934.07,58239934.07,276152808.52,155364045.86,7608455.21,120788762.66,130343608.29,276152808.52,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-5250,"Expenses of Transportation Audit Contracts and Contract Administration, General Services Administration",General Services Administration,General Government,General property and records management,18119102.11,-17117767.82,16059290,0,0,0,0,17060624.29,10959706.79,1737981.69,6100917.5,9503555.84,17060624.29,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-5254,"Expenses, Disposal of Surplus Real and Related Personal Property, General Services Administration",General Services Administration,General Government,General property and records management,5593654.41,-1286176.39,710000,0,0,0,0,5017478.02,407665.89,9931.96,4609812.13,347739.74,5017478.02,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-5381,"Acquisition Workforce Training Fund, General Services Administration",General Services Administration,General Government,General property and records management,17205989.87,-74139.25,20032840.82,0,0,0,0,37164691.44,14212458.03,62028.31,22952233.41,12476348.59,37164691.44,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-5594,"Asset Proceeds and Space Management Fund, General Services Administration",General Services Administration,General Government,General property and records management,35585330.75,85242.5,0,0,0,0,0,35670573.25,3086253.25,85242.5,32584320,1589423.4,35670573.25,2023-11-16
General Services Administration,General Services Administration,FY2023P12,047-8198,"Unconditional Gifts of Real, Personal, or Other Property, General Services Administration",General Services Administration,General Government,General property and records management,282147.49,0,0,0,0,0,0,282147.49,0,0,282147.49,0,282147.49,2023-11-16
National Science Foundation,National Science Foundation,FY2023P12,049-0100,"Research and Related Activities, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,234771477.16,140854042.79,7841798000,0,0,107375976.46,107375976.46,8324799496.41,7740435534.17,208716668,584363962.24,7345209468.2,8324799496.41,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0106,"STEM Education, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,41224256.14,20932643.3,1371000000,0,0,16407754.55,16407754.55,1449564653.99,1301053402.03,44588813.65,148511251.96,1074508525.2,1449564653.99,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0108,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Workforce and Education Fund, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,0,0,25000000,0,0,0,0,25000000,24999976,0,24,134762.09,25000000,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0180,"Agency Operations and Award Management, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,10230292.8,7820617,448000000,0,0,8770029.91,8770029.91,474820939.71,465245721.25,6815024.62,9575218.46,441832573.02,474820939.71,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0300,"Office of Inspector General, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,1172879.67,-87876.9,23393000,0,0,31830.72,31830.72,24509833.49,23510795.66,432193.99,999037.83,21630479.95,24509833.49,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0350,"Office of the National Science Board, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,400761.48,-41934.81,5090000,0,0,0,0,5448826.67,5009187.15,64189.43,439639.52,4842258.93,5448826.67,2023-11-15
National Science Foundation,National Science Foundation,FY2023P12,049-0551,"Major Research Equipment and Facilities Construction, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,330728973.35,4720372.9,187230000,0,0,0,0,522679346.25,161362191.6,4720373.44,361317154.65,158547678.93,522679346.25,2023-11-15
